candidate_id,reference,generator,file_path,reason,quality_flags,listening_status,notes
human:fma:91622,Scape from the city - Rolemusic,,data/audio_batch/0cd671c6e2090daafd89eab9655df800aa20aa80204b665a9f6b144353fa8a81.mp3,Flagged human recording,channel_offset_review,pending,
human:fma:114545,shmoove - epsilon not,,data/audio_batch/1b2da198a7ac846239cc1c545c267d92dc6484cd8efc6a8729c5c9eec53e8b03.mp3,Flagged human recording,at_or_above_full_scale_review,pending,
human:fma:141877,I - Nocturnal Mayhem,,data/audio_batch/51819202d424e368452c8b13c98b28832b2b4964468113c759b59562649f4091.mp3,Flagged human recording,channel_offset_review,pending,
human:fma:135336,Slow and Steady - Caleb Lemond,,data/audio_batch/3b49362f90d4d89342f7d27c7f79b624f15f12e50f7b39d520626b1047918e77.mp3,Flagged human recording,at_or_above_full_scale_review,pending,
human:fma:145607,The Dawn - The One They Fear,,data/audio_batch/3a3696354f18cfb0028aeabbe7226ec3499b636576859e6e892d1952c469915a.mp3,Flagged human recording,at_or_above_full_scale_review,pending,
human:fma:135370,Happy - Lamprey,,data/audio_batch/af8c7820640c619909cd7e5d1ae0f9f5755a05f0767e4e13216ed6af2c64f885.mp3,Flagged human recording,at_or_above_full_scale_review,pending,
human:fma:42372,Only Instrumental - Broke For Free,,data/audio_batch/231221175cddc43951ece983ffcad4a7ee4ef965ef3f8f8ccf34d1e9b6778575.mp3,Flagged human recording,channel_offset_review;at_or_above_full_scale_review,pending,
ai:Echoes/TTA/acestep/The_Factory_Multifaros_acestep_TTA_001.mp3,The Factory - Multifaros,acestep,data/audio_batch/71479715adcfa51774d47e5ed5b64b37c9ee6bee58c2c368575475a7c74acb8a.mp3,Generator example selected by lowest reference ID,,pending,
ai:Echoes/TTA/audioldm/The_Factory_Multifaros_audioldm_TTA_001.mp3,The Factory - Multifaros,audioldm,data/audio_batch/776e1220c81750ef5eb7ccde2eea99ba60dae358bef400a21e04958dd99371ed.mp3,Generator example selected by lowest reference ID,,pending,
ai:Echoes/TTA/musicgen/The_Factory_Multifaros_musicgen_TTA_001.wav,The Factory - Multifaros,musicgen,data/audio_batch/9fd9817d20ad3834482c1d34ac1e2acae8774bba2d34dc7fc5a0f83546458468.wav,Generator example selected by lowest reference ID,at_or_above_full_scale_review,pending,
human:fma:143055,Robot Heart - Mystery Mammal,,data/audio_batch/3660e49b1f644b9aeff6af788dd3359cc9f23a19d632e14c8bcd24967d3117e1.mp3,Flagged human recording,at_or_above_full_scale_review,pending,
human:fma:89814,Dreams - ENDRUDARK,,data/audio_batch/ea70de5e6621b1ea23aebc997fbcfe812f3f628c2781638c2df13c5457be8aae.mp3,Flagged human recording,at_or_above_full_scale_review,pending,
human:fma:142080,OOOTHERSIDE - Liquid Paper - Mike B. Fort,,data/audio_batch/2771d6fd37a6b42d7b9ccab72b6efde140585ce15bd55c0c96615c8ccbc3abcf.mp3,Flagged human recording,at_or_above_full_scale_review,pending,
